ROV_heading,Camera_heading,Difference
-0.0902735935,0.1736752634,-0.2639488569
-0.0925529016,0.1734319883,-0.2659848899
-0.0942623278,0.1693304403,-0.263592768
-0.0984687966,0.1692282835,-0.26769708
-0.0977185766,0.1674764502,-0.2651950268
-0.0850456059,0.1661764889,-0.2512220948
-0.0956473587,0.1683142075,-0.2639615661
-0.0906849951,0.1682609663,-0.2589459614
-0.0981248049,0.1769398901,-0.275064695
-0.0954311949,0.1769647686,-0.2723959635
-0.0982297321,0.1676009111,-0.2658306432
-0.0938555439,0.1695971853,-0.2634527292
-0.0979631066,0.1673604086,-0.2653235152
-0.0950876,0.1672059231,-0.262293523
-0.0957891063,0.1735038684,-0.2692929747
-0.0948976533,0.1646210954,-0.2595187487
-0.1185930552,0.1578474768,-0.276440532
-0.1485552913,0.1452914731,-0.2938467644
-0.1767701826,0.1287259537,-0.3054961363
-0.1724451713,0.1038870462,-0.2763322175
-0.2031313397,0.0527637916,-0.2558951313
-0.2204887282,0.0524773704,-0.2729660986
-0.2448104433,0.0476972223,-0.2925076656
-0.2609038496,0.0208674499,-0.2817712995
-0.2724145795,-0.0232386092,-0.2491759703
-0.3010223903,-0.0234416305,-0.2775807599
-0.3159841111,-0.0311470734,-0.2848370377
-0.3304684979,-0.0489162714,-0.2815522265
-0.3497176794,-0.0691667823,-0.2805508971
-0.3681555537,-0.0956814432,-0.2724741105
-0.3763283621,-0.1389369113,-0.2373914508
-0.3890764995,-0.138844043,-0.2502324565
-0.4166288513,-0.1724263878,-0.2442024636
-0.4275567774,-0.1718519398,-0.2557048375
-0.4481943918,-0.1863377127,-0.2618566792
-0.4651834032,-0.2040635451,-0.2611198581
-0.4848271713,-0.2184409865,-0.2663861848
-0.4948103116,-0.2769978785,-0.2178124331
-0.5141700629,-0.286313653,-0.22785641
-0.5218237818,-0.3193909979,-0.2024327838
-0.5472465277,-0.3194137074,-0.2278328204
-0.5594086427,-0.3436663271,-0.2157423155
-0.5734690387,-0.3506228017,-0.2228462369
-0.5887895501,-0.379911969,-0.2088775811
-0.6029115977,-0.3800013163,-0.2229102814
-0.61320412,-0.3942906556,-0.2189134644
-0.6275197072,-0.4274752813,-0.2000444259
-0.6360318247,-0.4510619174,-0.1849699073
-0.6528287849,-0.4688032707,-0.1840255142
-0.6615142964,-0.4689417905,-0.1925725058
-0.6896057459,-0.5003321666,-0.1892735793
-0.7032794552,-0.5470875036,-0.1561919517
-0.719549735,-0.547042004,-0.172507731
-0.7333348948,-0.5589463154,-0.1743885794
-0.747377183,-0.5768455395,-0.1705316435
-0.7513378619,-0.6071764794,-0.1441613825
-0.7677987772,-0.6187351485,-0.1490636288
-0.7734730068,-0.6320844165,-0.1413885903
-0.7904200501,-0.635189835,-0.1552302151
-0.7985264868,-0.667703213,-0.1308232738
-0.8174027758,-0.6678064445,-0.1495963313
-0.8344072625,-0.7064178599,-0.1279894026
-0.8604920855,-0.7667619661,-0.0937301194
-0.8808644305,-0.7985723515,-0.082292079
-0.9097188585,-0.7982238412,-0.1114950173
-0.925173917,-0.8595702623,-0.0656036547
-0.9543386306,-0.871268914,-0.0830697167
-0.9799196529,-0.9389103802,-0.0410092728
-1.0138379121,-0.9601685428,-0.0536693693
-1.0370333793,-1.0156472123,-0.021386167
-1.0582016137,-1.0534958021,-0.0047058116
-1.0829593367,-1.1057829113,0.0228235746
-1.0956845131,-1.1308725618,0.0351880487
-1.1201638479,-1.1853295456,0.0651656977
-1.1356193437,-1.2119952245,0.0763758808
-1.1621961607,-1.2256008452,0.0634046845
-1.1781078386,-1.2635182818,0.0854104432
-1.1958065485,-1.2892103595,0.0934038111
-1.2099184375,-1.3184620287,0.1085435912
-1.246572094,-1.3595632899,0.1129911959
-1.2699225099,-1.4155806251,0.1456581152
-1.3005829156,-1.5197623904,0.2191794747
-1.316566174,-1.5476253826,0.2310592086
-1.3444695155,-1.5482922689,0.2038227534
-1.3608334468,-1.6105080925,0.2496746458
-1.3795977212,-1.610903528,0.2313058069
-1.3945006815,-1.6281482768,0.2336475953
-1.4174261269,-1.6373362192,0.2199100923
-1.4317591337,-1.6664930868,0.2347339531
-1.4513112687,-1.6940100144,0.2426987456
-1.4652956857,-1.7428989581,0.2776032723
-1.4924565666,-1.7705121003,0.2780555338
-1.5146823984,-1.8182356396,0.3035532412
-1.5467061225,-1.8828559344,0.3361498119
-1.5683033574,-1.9240670771,0.3557637198
-1.6011818361,-1.9917971041,0.390615268
-1.6260096433,-2.0196165963,0.393606953
-1.6555204869,-2.1061773962,0.4506569093
-1.6753640564,-2.1062774916,0.4309134352
-1.7010800712,-2.1786433463,0.4775632752
-1.7173052814,-2.1786615807,0.4613562993
-1.7437253911,-2.2164515956,0.4727262045
-1.7619117291,-2.2362519957,0.4743402666
-1.7902178525,-2.2696637073,0.4794458548
-1.8051400254,-2.285274952,0.4801349266
-1.8253927964,-2.3322732919,0.5068804955
-1.8464030201,-2.3523322217,0.5059292016
-1.8718910144,-2.4109338622,0.5390428478
-1.9142867125,-2.4217156116,0.5074288991
-1.9295153155,-2.5273076702,0.5977923547
-1.9594129232,-2.5274501901,0.568037267
-1.9789794559,-2.5418838068,0.5629043509
-2.0020235108,-2.5771653047,0.575141794
-2.0202554904,-2.5927654297,0.5725099394
-2.0312826331,-2.6141644505,0.5828818174
-2.0500892739,-2.6185113641,0.5684220902
-2.0613364051,-2.6458263761,0.584489971
-2.0729064085,-2.6462280288,0.5733216203
-2.0805437064,-2.6573878759,0.5768441695
-2.0953295451,-2.6642361687,0.5689066236
-2.1065922287,-2.665434923,0.5588426943
-2.1263457024,-2.6820945655,0.555748863
-2.1435501714,-2.7334215695,0.5898713981
-2.1716510893,-2.7775910464,0.605939957
-2.1907686703,-2.777465576,0.5866969056
-2.2169371939,-2.8002772307,0.5833400368
-2.2332594308,-2.8447157563,0.6114563255
-2.2585194923,-2.8729272382,0.6144077459
-2.2780867788,-2.9045125831,0.6264258043
-2.3022336044,-2.949486987,0.6472533826
-2.3176686271,-2.956205361,0.6385367338
-2.3451513706,-2.9766581305,0.6315067599
-2.3616074063,-3.0276983263,0.66609092
-2.3877533283,-3.0274641433,0.639710815
-2.4018494057,-3.0477621951,0.6459127894
-2.4313638212,-3.0897269903,0.6583631691
-2.4507875839,-3.1080378236,0.6572502397
-2.6914992228,-3.1272563,0.4357570772
-2.6518962593,-3.0658031136,0.4139068543
-2.6202017295,-3.0089040108,0.3887022813
-2.5771900107,-3.0090112262,0.4318212155
-2.5521784846,-2.9819494829,0.4297709982
-2.5178639016,-2.9101427182,0.3922788166
-2.4743886343,-2.8769127372,0.4025241029
-2.4279571362,-2.8016408665,0.3736837303
-2.3828693284,-2.6679960727,0.2851267443
-2.3239471056,-2.6683110643,0.3443639587
-2.2546900697,-2.6285566861,0.3738666164
-2.1947918637,-2.5370986447,0.342306781
-2.1504687243,-2.4066165028,0.2561477785
-2.0929675225,-2.4057848216,0.3128172991
-2.0623061484,-2.3607357405,0.2984295921
-2.0036667665,-2.2785543938,0.2748876273
-1.9470215949,-2.1708577299,0.2238361349
-1.8978986952,-2.1704770189,0.2725783237
-1.8634897003,-2.1340238968,0.2705341966
-1.8108735056,-2.075449819,0.2645763134
-1.7714337517,-2.0196800184,0.2482462667
-1.7170057723,-1.9551386431,0.2381328708
-1.6886152038,-1.8866047783,0.1979895745
-1.6367483611,-1.7623944593,0.1256460982
-1.5997472259,-1.7216391797,0.1218919537
-1.5454655581,-1.7207189191,0.175253361
-1.5190517822,-1.6283266685,0.1092748863
-1.4728853288,-1.6279714782,0.1550861494
-1.4518328713,-1.554370967,0.1025380956
-1.413600848,-1.5197515184,0.1061506704
-1.3769122361,-1.4297926372,0.052880401
-1.3266489394,-1.3979106905,0.0712617511
-1.2907298857,-1.3254787559,0.0347488702
-1.2495173502,-1.297235234,0.0477178838
-1.2213862231,-1.2338368144,0.0124505912
-1.1939964917,-1.1942666087,0.000270117
-1.1620732507,-1.1512617716,-0.0108114791
-1.1285541897,-1.0850728475,-0.0434813421
-1.1031617979,-1.085838713,-0.0173230849
-1.0606769369,-1.0163189435,-0.0443579934
-1.0437196234,-0.9915888168,-0.0521308066
-1.0004841371,-0.9018039609,-0.0986801762
-0.9720152265,-0.8560156349,-0.1159995916
-0.937997344,-0.823906795,-0.114090549
-0.9209898223,-0.8238878935,-0.0971019288
-0.910208829,-0.7720594917,-0.1381493372
-0.861057404,-0.6729925531,-0.1880648509
-0.8235431724,-0.63752279,-0.1860203825
-0.7887609956,-0.5768091054,-0.2119518902
-0.7408008565,-0.5767431356,-0.1640577209
-0.7172650891,-0.5513407847,-0.1659243044
-0.6842202291,-0.5011050088,-0.1831152203
-0.6463680107,-0.4358987221,-0.2104692886
-0.605787438,-0.435386276,-0.170401162
-0.58910209,-0.4113018228,-0.1778002672
-0.5557881765,-0.3641162584,-0.1916719182
-0.5500170119,-0.3521252918,-0.1978917201
-0.5266136071,-0.3118348365,-0.2147787706
-0.4970273234,-0.2398195981,-0.2572077252
-0.4688160358,-0.2400569321,-0.2287591037
-0.4258213253,-0.198214725,-0.2276066003
-0.4053011017,-0.1646412936,-0.2406598081
-0.3799414314,-0.0900982644,-0.2898431671
-0.3435257415,-0.0899683346,-0.2535574069
-0.2832925827,-0.0224409242,-0.2608516585
-0.251511402,0.0075403564,-0.2590517584
-0.2221443873,0.0578506162,-0.2799950035
-0.1714005178,0.1373655848,-0.3087661026
-0.135658296,0.1375328778,-0.2731911738
-0.1039950795,0.1666728971,-0.2706679766
-0.0717767258,0.2267670068,-0.2985437326
-0.038839071,0.2268442986,-0.2656833696
0.0074697124,0.2788686997,-0.2713989872
0.0497435045,0.3524618162,-0.3027183117
0.0805929874,0.3526560004,-0.2720630131
0.1109576359,0.3992521461,-0.2882945102
0.1625824439,0.4339022504,-0.2713198065
0.1776548694,0.4829703175,-0.3053154481
0.2412286145,0.5076601541,-0.2664315396
0.2742381823,0.5678515801,-0.2936133978
0.3398485919,0.5947248855,-0.2548762936
0.3514398739,0.6414284994,-0.2899886256
0.4036565432,0.7173712625,-0.3137147193
0.4233658293,0.7402511858,-0.3168853565
0.4850028505,0.7837404571,-0.2987376066
0.5132332969,0.8065070346,-0.2932737377
0.554706017,0.8398699846,-0.2851639676
0.576064302,0.8539273027,-0.2778630007
0.6153380175,0.8537612609,-0.2384232434
0.637336237,0.8883512805,-0.2510150435
0.6641945069,0.9430454469,-0.27885094
0.6929096361,0.9428438848,-0.2499342487
0.7340794549,0.9615670269,-0.2274875719
0.7597421461,0.9980918746,-0.2383497285
0.7921321803,1.0315353823,-0.239403202
0.8157057787,1.0701490703,-0.2544432916
0.846445575,1.0920350827,-0.2455895077
0.8706582207,1.1207417531,-0.2500835324
0.9075423855,1.1333283993,-0.2257860138
0.9265156342,1.1334563755,-0.2069407413
0.9571217464,1.1848934811,-0.2277717347
0.9745206232,1.1849336084,-0.2104129852
1.0083825328,1.2229583551,-0.2145758223
1.0346177905,1.2388038991,-0.2041861086
1.0751233175,1.2674085511,-0.1922852336
1.0991387058,1.2797512342,-0.1806125284
1.1293280365,1.3103554406,-0.1810274041
1.1497956761,1.3301038631,-0.180308187
1.1882727371,1.364214351,-0.175941614
1.2156353714,1.378696057,-0.1630606856
1.2564476439,1.4211926404,-0.1647449965
1.2813457179,1.4371763009,-0.155830583
1.3191839276,1.4768185265,-0.1576345989
1.3419974405,1.5064222392,-0.1644247987
1.3802772836,1.5570427029,-0.1767654193
1.4057451919,1.5563650341,-0.1506198422
1.4437959899,1.5672259313,-0.1234299414
1.4659030299,1.5981505457,-0.1322475158
1.4968224719,1.6070547458,-0.1102322739
1.5203415939,1.6383975542,-0.1180559602
1.559764262,1.6883636525,-0.1285993906
1.5827497602,1.6993557215,-0.1166059613
1.6165254838,1.7310782738,-0.11455279
1.6406301631,1.7388156776,-0.0981855145
1.6763395619,1.738695324,-0.0623557621
1.6986709703,1.7628478163,-0.064176846
1.7291434636,1.7753915631,-0.0462480995
1.7505793293,1.8187573574,-0.0681780281
1.7848853,1.8187345473,-0.0338492473
1.8060729575,1.848544004,-0.0424710465
1.8353489287,1.8769981954,-0.0416492667
1.8575842499,1.8906443159,-0.0330600661
1.8936643344,1.918501848,-0.0248375137
1.9201256341,1.9627393605,-0.0426137264
1.9579567941,1.9795805938,-0.0216237998
1.9837073303,1.97946458,0.0042427503
2.0254813112,2.0162767931,0.0092045181
2.050463529,2.0325526034,0.0179109256
2.0855196529,2.0659938476,0.0195258053
2.1101480074,2.0803384483,0.0298095591
2.1492238355,2.1033660998,0.0458577357
2.1720918243,2.1428104602,0.0292813642
2.2001682475,2.1426153546,0.0575528929
2.2191375863,2.1862400243,0.0328975621
2.2561966708,2.1864974994,0.0696991714
2.2840985916,2.2405762511,0.0435223404
2.3263231736,2.2405766592,0.0857465145
2.3553573583,2.2604091971,0.0949481612
2.3986685257,2.2992674219,0.0994011038
2.4276761499,2.3444419955,0.0832341544
2.4813135394,2.3638394368,0.1174741026
2.5130142257,2.4369698882,0.0760443375
2.5697552192,2.4858366298,0.0839185894
2.6057957861,2.486378858,0.1194169281
2.6579581663,2.508831887,0.1491262793
2.6932336948,2.5774757328,0.115757962
2.7489300945,2.5777733468,0.1711567477
2.78497445,2.6352913702,0.1496830798
2.8346034595,2.6350159433,0.1995875162
2.8662706734,2.6754510789,0.1908195945
2.91099889,2.7361090305,0.1748898595
2.9360591121,2.7354875414,0.2005715706
2.9836419937,2.7481811427,0.235460851
3.0124761995,2.7965369935,0.215939206
3.0602450608,2.7965444562,0.2637006046
3.0879744774,2.817215466,0.2707590114
3.1277623336,2.8602245086,0.2675378251
3.1341914451,2.5110183718,0.6231730733
3.1077884295,2.5106680647,0.5971203648
3.0602995019,2.4880645719,0.57223493
3.0228992429,2.4455819043,0.5773173386
2.9678741043,2.415916007,0.5519580974
2.9304868646,2.3642653281,0.5662215366
2.8712973359,2.3119208896,0.5593764463
2.8283253637,2.2816158234,0.5467095403
2.768887268,2.2240409581,0.5448463099
2.7120552949,2.1450628534,0.5669924415
2.6354613809,2.1450448979,0.490416483
2.5864622684,2.0459317396,0.5405305288
2.518559604,2.0463644665,0.4721951375
2.4613341281,2.0161861263,0.4451480017
2.3761696074,1.9305286756,0.4456409318
2.3165820894,1.9307531798,0.3858289096
2.2418589574,1.881974036,0.3598849214
2.1874585408,1.8149021762,0.3725563646
2.1065883203,1.8145847896,0.2920035307
2.0424511998,1.7929295567,0.2495216431
1.9611258831,1.7428322686,0.2182936145
1.9198892932,1.7200729233,0.1998163699
1.8526715649,1.6649795274,0.1876920375
1.7795036627,1.6085027232,0.1710009395
1.7133920459,1.5941597804,0.1192322655
1.6375379582,1.5252496167,0.1122883415
1.5947384855,1.5255302894,0.0692081961
1.546744273,1.4936422962,0.0531019768
1.4969495108,1.4348611816,0.0620883292
1.4473862738,1.4346189709,0.0127673029
1.3815583189,1.4085523455,-0.0269940266
1.3422012756,1.3638524599,-0.0216511844
1.279835551,1.3419406482,-0.0621050972
1.2388517201,1.2966813371,-0.057829617
1.1776435773,1.277314718,-0.0996711408
1.1431732812,1.2333193895,-0.0901461083
1.0935040976,1.2102243077,-0.1167202101
1.0548837099,1.1588490499,-0.1039653399
0.9920145894,1.0895742178,-0.0975596284
0.9523066591,1.0900147598,-0.1377081007
0.9036211593,1.0182210437,-0.1145998844
0.8599631594,1.0179565753,-0.1579934159
0.824578375,0.9695738507,-0.1449954756
0.7715098235,0.9418014316,-0.1702916081
0.7165660831,0.8674755768,-0.1509094937
0.6439453581,0.8673922906,-0.2234469325
0.6140919596,0.8225380188,-0.2084460592
0.571144369,0.7489060277,-0.1777616588
0.5327409004,0.7323356608,-0.1995947604
0.4768674429,0.7322975966,-0.2554301537
0.4439180741,0.6932910445,-0.2493729704
0.408172639,0.6278188895,-0.2196462505
0.3965825663,0.6272398583,-0.2306572921
0.3606821075,0.6052577265,-0.2445756191
0.3083942862,0.5645252025,-0.2561309163
0.2556315382,0.4846948361,-0.2290632979
0.2159481605,0.4847933717,-0.2688452112
0.202981262,0.4616304944,-0.2586492323
0.2038241501,0.405702011,-0.2018778609
0.1920760888,0.3261888052,-0.1341127165
0.0977255525,0.3260387833,-0.2283132308
-0.0004282572,0.2317382553,-0.2321665125
-0.0390635581,0.1753684542,-0.2144320123
-0.05668297,0.1756272412,-0.2323102113
-0.0604108061,0.1315792683,-0.1919900744
-0.1801825809,0.0638457001,-0.2440282811
-0.2543124949,0.0207664215,-0.2750789164
-0.3163004091,-0.0961076761,-0.220192733
-0.3516480801,-0.0959219848,-0.2557260953
-0.3572680934,-0.205493445,-0.1517746484
-0.3595567572,-0.2681910231,-0.0913657341
-0.415213292,-0.268134444,-0.147078848
-0.4899298667,-0.3056454064,-0.1842844603
-0.5687275948,-0.3763978222,-0.1923297727
-0.5983139014,-0.4998517476,-0.0984621539
-0.6118707617,-0.499918172,-0.1119525897
-0.6146485435,-0.6351533538,0.0205048103
-0.6828820053,-0.6359128799,-0.0469691254
-0.7434813193,-0.7198245132,-0.0236568061
-0.8245862308,-0.7711165792,-0.0534696517
-0.8690095748,-0.8691823259,0.0001727511
-0.9235932232,-1.0189090652,0.095315842
-0.9688503608,-1.0195021401,0.0506517793
-1.0012372205,-1.0620381976,0.0608009771
-1.065896443,-1.1901688592,0.1242724162
-1.1120876081,-1.1906307408,0.0785431327
-1.1389659756,-1.272413866,0.1334478905
-1.178083227,-1.3165937089,0.1385104819
-1.2129093187,-1.3768109099,0.1639015912
-1.2399563276,-1.3895037136,0.149547386
-1.2638456262,-1.4447701268,0.1809245006
-1.2947396791,-1.4798498277,0.1851101486
-1.321782149,-1.5369772058,0.2151950569
-1.3476119425,-1.5649063031,0.2172943606
-1.3715542416,-1.6136938297,0.2421395881
-1.4058515666,-1.6759126744,0.2700611078
-1.4256444004,-1.6757866908,0.2501422904
-1.4546070897,-1.7377145107,0.283107421
-1.4706812018,-1.7639927059,0.2933115042
-1.5037765471,-1.8287309106,0.3249543635
-1.5292241201,-1.8528842083,0.3236600882
-1.5568027014,-1.9165953457,0.3597926444
-1.5836729191,-2.0173308885,0.4336579694
-1.6284604204,-2.0599535568,0.4314931364
-1.6565636357,-2.059450386,0.4028867503
-1.6933763304,-2.1319315637,0.4385552333
-1.7222902982,-2.1796264266,0.4573361284
-1.7539955464,-2.2614900085,0.5074944621
-1.7912522661,-2.3773688605,0.5861165944
-1.8345636076,-2.377575012,0.5430114044
-1.8606218647,-2.4589341928,0.5983123281
-1.8946195634,-2.4918629583,0.5972433949
-1.9193656804,-2.4916019111,0.5722362308
-1.9500816678,-2.5699063102,0.6198246424
-1.9713920729,-2.585651536,0.6142594631
-2.0021015912,-2.5858698348,0.5837682435
-2.0214807825,-2.6211736439,0.5996928614
-2.0491475819,-2.6510690003,0.6019214185
-2.0715836251,-2.700254968,0.6286713429
-2.1087434991,-2.7267365434,0.6179930442
-2.1327971475,-2.7759351865,0.643138039
-2.1674356683,-2.7963401977,0.6289045293
-2.1943577823,-2.8528719627,0.6585141804
-2.2376095878,-2.8852724187,0.6476628309
-2.2668172673,-2.9477706954,0.6809534281
-2.3092839652,-3.0431265887,0.7338426235
-2.3391273321,-3.0428479955,0.7037206634
-2.3858193586,-3.1353952804,0.7495759218
-2.4154222693,-3.1350711896,0.7196489203
-2.6997731314,-3.1174604236,0.4176872922
-2.6734773878,-3.1177639458,0.444286558
-2.6302850256,-3.0757676976,0.445482672
-2.6047516868,-3.0096537725,0.4049020857
-2.5698796097,-3.0096954593,0.4398158496
-2.5465092176,-2.9455337717,0.3990245541
-2.5137252831,-2.9454464068,0.4317211237
-2.4870501839,-2.93085864,0.4438084561
-2.4566698406,-2.8963156861,0.4396458455
-2.4393466654,-2.8594644149,0.4201177495
-2.4106625813,-2.8584319076,0.4477693263
-2.3943820873,-2.8425372833,0.448155196
-2.3783629621,-2.8281091947,0.4497462326
-2.3565011719,-2.8199893954,0.4634882234
-2.3372690655,-2.8006863292,0.4634172637
-2.3259798466,-2.781260817,0.4552809704
-2.3115480845,-2.7811170596,0.4695689751
-2.3057202559,-2.7780341134,0.4723138576
-2.2928414451,-2.7777692732,0.4849278282
-2.2892123197,-2.7826020396,0.4933897199
-2.2805510595,-2.7824343377,0.5018832782
-2.276387722,-2.7822927802,0.5059050583
-2.2708897586,-2.7820387775,0.5111490189
-2.2680073369,-2.7703323892,0.5023250523
-2.2636141108,-2.7770996869,0.5134855761
-2.2601872273,-2.775834342,0.5156471147
-2.2569478452,-2.7758551899,0.5189073447
-2.2552266747,-2.7794179735,0.5241912988
-2.2529755594,-2.7793034977,0.5263279383
-2.2510134334,-2.7772595817,0.5262461484
